"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000188171",202.532385940909,-0.212878390545405,0.242094613549508,-0.879318987829823,0.379228343415656,0.707028193588371
"ENSG00000188177",444.322091803801,-0.558670810425343,0.191267360757749,-2.92088941998281,0.00349033688384018,0.045261466593585
"ENSG00000188186",771.471512097897,0.197937209134647,0.100266467112864,1.97411173280734,0.0483690395312686,0.252865991473594
"ENSG00000188191",558.25434109148,-0.297458944517381,0.145046844812229,-2.05077845645286,0.0402885264771887,0.22633649107898
"ENSG00000188211",752.351897419708,-0.428763023956236,0.104696870442418,-4.09528023277497,4.21658044649524e-05,0.00140508007103383
"ENSG00000188215",450.904952197428,-0.217191313419782,0.14722728748034,-1.47521099611907,0.140155826065968,0.453187130119354
"ENSG00000188223",7.79907603265365,0.974882802815373,2.29479819992428,0.424822889806843,0.67096579004986,NA
"ENSG00000188227",309.478462652468,-0.0278774009365142,0.229257681564491,-0.121598546867762,0.903216964381335,0.968981738629819
"ENSG00000188229",8573.60729217097,0.1336993462591,0.0481666159680269,2.77576789591883,0.00550715080403963,0.0616737537454857
"ENSG00000188234",108.62316251499,-0.00978619601604351,0.371877571726996,-0.0263156392320099,0.979005580927978,0.994409607788616
"ENSG00000188243",485.54722624572,0.0851871434494894,0.123395131513452,0.690360652034337,0.489967414737343,0.781848249087372
"ENSG00000188257",18.6207021106104,1.46510301591706,0.917437848533067,1.59695070163028,0.110276696660848,NA
"ENSG00000188266",137.055659436381,0.137258796988678,0.229960454146441,0.59688000486062,0.550587497858526,0.81983836139687
"ENSG00000188277",100.324698076302,0.248469605449146,0.312420490216544,0.795305087950306,0.426436054621784,0.744675862093532
"ENSG00000188283",254.193147942403,-0.0757225378865313,0.26412115188807,-0.286696227641098,0.774344926301426,0.922326334105643
"ENSG00000188290",38.6079129411564,-0.334468297987619,0.456512333965774,-0.732659937316601,0.463765864537859,0.766303129930433
"ENSG00000188295",312.674606351739,0.00360794377519217,0.165712948741503,0.0217722501626607,0.98262963010073,0.995410972843975
"ENSG00000188313",1267.31127014221,-0.060610002078617,0.106265497738117,-0.570363884503562,0.568430919526953,0.831952856768991
"ENSG00000188315",324.768192480175,-0.311609510940564,0.303120158851405,-1.02800655727196,0.30394674319552,0.643566781393285
"ENSG00000188321",509.071127555301,0.0580311839432681,0.153990200096559,0.376849850879341,0.706285191559523,0.894770914304748
"ENSG00000188322",202.286552101721,-0.116989214038432,0.207454640498573,-0.563926715532964,0.57280400764679,0.833437616319605
"ENSG00000188338",22.0377625684172,-1.70108070823526,0.739175988063915,-2.30132030220679,0.021373533022431,NA
"ENSG00000188342",996.275493918411,0.0817080537901752,0.112955005864457,0.72336815145867,0.469453732625988,0.769333413667024
"ENSG00000188343",613.023191936178,0.217234531295502,0.127163830546692,1.70830440040682,0.0875798752364681,0.354402054512418
"ENSG00000188352",1565.16633723484,-0.0499920596786705,0.10746423857437,-0.465197170164416,0.641790265050634,0.867323700780871
"ENSG00000188368",50.6971167790251,0.0390856532948803,0.428719540316872,0.0911683504465218,0.927358822880371,0.977211095186902
"ENSG00000188372",123.418986709077,0.49695831023434,0.24551182672704,2.0241725902144,0.042952396766326,0.235099684951107
"ENSG00000188385",232.357089721771,-0.463778444672524,0.182471785119587,-2.54164469519809,0.0110332267687382,0.0973910930253453
"ENSG00000188396",10.2932028421313,1.22856532393077,0.877467598181823,1.40012614309228,0.161475547631881,NA
"ENSG00000188404",23.9666468432781,0.985539371416842,1.0045057866345,0.981118660071433,0.32653422949552,NA
"ENSG00000188419",2004.33106432091,0.053024520251303,0.0679401653199855,0.780459099585163,0.435120692925489,0.74980594796834
"ENSG00000188428",580.275474267545,-0.047062150775721,0.154794512878522,-0.304029838658777,0.761105158535871,0.917486485555049
"ENSG00000188452",17.0340978420046,-0.0793136071830095,0.834572424910746,-0.0950350201080413,0.924287010768652,NA
"ENSG00000188460",7.68895677780895,-1.03454686909587,1.15552985745433,-0.895300854774108,0.370626283503865,NA
"ENSG00000188467",456.584613734813,0.132648735164261,0.120492600108574,1.10088698430222,0.270945847492239,0.610669911604386
"ENSG00000188483",478.895663224752,-0.068494633967531,0.159233018659962,-0.430153460280744,0.66708401369198,0.879639100712854
"ENSG00000188486",2020.01460067654,0.116180647473318,0.0735979087985184,1.57858625835924,0.11443098863897,0.409768771455734
"ENSG00000188488",14.1873377558748,-0.281790275959359,0.743252508026004,-0.379131281652534,0.70459037788945,NA
"ENSG00000188493",373.943796750376,-0.291558563333795,0.158694508741343,-1.8372315819006,0.0661757152382537,0.301138171279519
"ENSG00000188501",40.5645734907688,0.042096490698452,0.662831618882372,0.0635100823485648,0.949360330900363,0.983717170975523
"ENSG00000188517",20.9045582227341,-3.04537247534618,1.51413643559096,-2.01129330472626,0.0442944852827184,NA
"ENSG00000188522",49.5907248806908,-0.0298058217740127,0.364047358416792,-0.0818734735602409,0.934747328635934,0.979075479468701
"ENSG00000188529",4234.22329518753,0.147742480775705,0.0530443165753163,2.78526504467126,0.00534839853596964,0.0607444363722752
"ENSG00000188542",138.443878962578,0.0927283870047659,0.27217308574574,0.34069638719308,0.733332158736218,0.906097342646944
"ENSG00000188549",975.855967402514,0.105821658101784,0.164173273352408,0.644572992551787,0.519203941442395,0.798851943770422
"ENSG00000188554",2974.49599880148,0.00209772272673824,0.0722103243415184,0.0290501773239111,0.976824571743939,0.994037339527973
"ENSG00000188558",15.2844908712846,0.977453101867513,1.06934085009837,0.914070664912501,0.360679715617021,NA
"ENSG00000188559",9496.56201723451,0.00527948412078093,0.0452735676237384,0.116612946535557,0.907166777874235,0.971052757751364
"ENSG00000188566",1027.06836645174,-0.0471400339671598,0.089381243736912,-0.527404095046087,0.597913000376328,0.847568853404339
"ENSG00000188582",7.41140429470907,0.01220926602997,0.942601261157547,0.0129527367860474,0.989665500274753,NA
"ENSG00000188596",238.350706110268,0.0160889144350442,0.169431025295582,0.0949584906718006,0.924347797523031,0.976554482443864
"ENSG00000188599",360.963866733084,-0.136870416643028,0.173839523344724,-0.787337735456244,0.4310841852532,0.747449886998469
"ENSG00000188603",798.98991338739,-0.0494655118283273,0.0912402056471792,-0.542145992300891,0.587717937194216,0.841727993777561
"ENSG00000188610",894.018907061527,-0.160122860826968,0.118946336782247,-1.34617731961012,0.178245337672414,0.504874657303353
"ENSG00000188611",71.5799818569456,-0.635450098079432,0.759852844582529,-0.836280475370932,0.402997134470044,0.725556519621268
"ENSG00000188612",5659.75772860108,0.209512778895082,0.04638097874811,4.51721340407503,6.26587493117342e-06,0.000298593039989379
"ENSG00000188613",121.511109779712,0.449171840427088,0.296499947484838,1.51491372675557,0.129794253681487,0.438296799659313
"ENSG00000188620",7.44547426234866,0.62445253204164,0.941491470460115,0.663258830944549,0.507164798635451,NA
"ENSG00000188629",92.470833292439,0.0189516345866818,0.334630852863399,0.0566344508419197,0.95483639077262,0.986354975590176
"ENSG00000188636",1414.74358856821,0.179784009276615,0.0846854806729996,2.12296143149762,0.0337570839218965,0.203393146229676
"ENSG00000188641",1377.25405949939,-0.0325934539616191,0.0798199508491287,-0.408337184060981,0.683026143661181,0.885425836106553
"ENSG00000188643",1795.61992292371,-0.00680672100944139,0.0654593113178206,-0.103983999715382,0.917182046107683,0.975060382714634
"ENSG00000188647",3350.44599635774,0.0405229751494469,0.0851508722056372,0.475896184029506,0.634148340918067,0.864117992558424
"ENSG00000188659",58.2542591528987,-0.107204917834957,0.551052559625015,-0.194545721569479,0.845748598900728,0.948387991971204
"ENSG00000188672",9.73557801715873,-1.87406077595346,1.07774320943774,-1.73887504884504,0.0820567439507812,NA
"ENSG00000188676",8.06287359292202,-0.685709141156529,1.08398040197617,-0.632584445167489,0.52700504745533,NA
"ENSG00000188677",171.783624469944,-0.159055560539832,0.297327426084139,-0.534950854129486,0.592683841702454,0.84485807745662
"ENSG00000188681",25.1807115022301,-0.73922470761849,0.537934412688422,-1.37419114706584,0.169382348425098,NA
"ENSG00000188687",21.7190507599734,0.899349987271227,1.05125271560999,0.855503128711899,0.392272673093713,NA
"ENSG00000188690",852.320909810285,0.0288182280304172,0.106692340463939,0.270105875502445,0.787078802063208,0.927227676836326
"ENSG00000188706",1804.37066102518,-0.0180399897347205,0.0876793912871932,-0.20574948650853,0.836986600804769,0.944468486700463
"ENSG00000188725",1616.78600685668,0.217222583534247,0.0900060073159942,2.41342317042928,0.0158034593094392,0.124284677973656
"ENSG00000188730",30.1526038000231,0.254612976350892,0.511776139657012,0.497508493697131,0.61883051479145,0.857030899917962
"ENSG00000188732",298.10935118553,-0.0472100807051984,0.187074425104713,-0.252359886600069,0.800762902751371,0.933118813041296
"ENSG00000188735",614.219683145029,0.015195211704792,0.170049808676859,0.0893574172357172,0.928797864163438,0.977238504610298
"ENSG00000188738",151.412207052047,-0.222418936318977,0.262009649106889,-0.848895974164065,0.395939179207335,0.721135249688195
"ENSG00000188739",583.786487877671,0.0791730051021329,0.158233833487494,0.500354465016422,0.61682550988993,0.855338543510439
"ENSG00000188747",29.9027118578781,-0.871392458503675,0.551778603645781,-1.57924292958462,0.114280346587609,0.409601509379059
"ENSG00000188760",431.445626649936,-0.202259878036754,0.134788960867733,-1.50056708453469,0.133467570153278,0.444307992890304
"ENSG00000188761",59.3257306974248,-1.02676984176781,0.685063458576176,-1.49879522679816,0.133926763276913,0.44494910485868
"ENSG00000188763",43.1094085099329,-1.03123255128812,0.462426600757569,-2.23004591344596,0.02574439493868,0.171490888865723
"ENSG00000188765",18.9386459986929,0.524809435821825,0.680229096240385,0.77151865264576,0.440399570716673,NA
"ENSG00000188766",417.891466805652,-0.249084712924755,0.159416247377674,-1.56248009234998,0.118174932080034,0.416962242622472
"ENSG00000188779",16.7248834119357,-0.584181979881708,0.61966006855065,-0.942745885252985,0.345810897128923,NA
"ENSG00000188783",14.4947555961323,-1.23858389667104,0.708308989093933,-1.74864912875867,0.08035168849743,NA
"ENSG00000188785",386.586974465207,0.367869870966738,0.199122434665618,1.84745567009812,0.0646811272416275,0.296670764598957
"ENSG00000188786",944.707392787571,0.537636950269885,0.13293013213361,4.04450775486705,5.24331729260881e-05,0.00168143932661095
"ENSG00000188807",1487.21616212319,0.0483944582678448,0.0953555215773716,0.507516056409774,0.611792773261615,0.853616268098132
"ENSG00000188811",456.958592111545,0.0847296803342625,0.165095468038612,0.513216270203408,0.607800046015991,0.851792732219543
"ENSG00000188818",84.8916829069292,-0.396182892055932,0.361772720944062,-1.09511543883705,0.273466065709667,0.61358717350594
"ENSG00000188820",24.3604951125775,1.53978922540207,1.01830517294393,1.51210979411066,0.130505933681702,NA
"ENSG00000188822",39.6167639387016,-0.0301346436910017,0.420954970233058,-0.0715863829195743,0.942931077126511,0.982306317535779
"ENSG00000188827",826.974510217344,0.0193618074052008,0.0992501069941864,0.195080972621369,0.845329558051036,0.948109593924096
"ENSG00000188833",7.06858647673645,-0.720055861213268,1.03036470853311,-0.698835912420159,0.484654582408194,NA
"ENSG00000188846",9461.07468175485,0.265679323326107,0.0478656311310855,5.55052376930983,2.84814981674547e-08,2.96316288949802e-06
"ENSG00000188868",33.1569527306755,-0.845072083873971,0.511391625325156,-1.65249496085637,0.0984336915475601,0.380274115989773
"ENSG00000188878",314.356971734159,-0.0275300372633513,0.188844648874711,-0.145781399829953,0.884093959807724,0.961790914608834
"ENSG00000188883",9.60573608281558,0.173240404916356,0.848067141982292,0.204276756332547,0.838137232752935,NA
"ENSG00000188895",2639.53888578276,0.188278145884539,0.0765134017172657,2.46072115026685,0.0138658087600645,0.113773093070993
"ENSG00000188897",14.8011945443706,-1.07073917697963,0.657054228710541,-1.6296054879381,0.103184903783527,NA
"ENSG00000188906",7.41170260599324,0.78598198794127,1.18995737544128,0.660512724373678,0.508924855636614,NA
"ENSG00000188916",53.0406258092861,0.338109781898627,0.379904662097047,0.889985871803427,0.373473472325056,0.702633383526261
"ENSG00000188917",997.787155671696,-0.0932030699289468,0.101604286259951,-0.917314351192725,0.358977939269591,0.690485673437358
"ENSG00000188921",14.91559528411,-1.27329439887673,0.820074191928176,-1.55265756611963,0.120504964994864,NA
"ENSG00000188938",1356.98100924414,-0.0749099529587704,0.0836798940555242,-0.895196555926151,0.370682025500477,0.699726499383103
"ENSG00000188958",17.0572088897208,0.343254949734265,0.80545290017908,0.426163900655082,0.669988420095285,NA
"ENSG00000188976",3463.94133112639,0.189941494555677,0.0739487112474135,2.56855719797715,0.0102122857227532,0.0920524088064836
"ENSG00000188985",130.945972744238,-0.832440379059243,0.36370570753574,-2.2887745828884,0.0220924529941263,0.155445555940603
"ENSG00000188986",1635.64655313385,0.141534779565823,0.0702689975734314,2.01418526595486,0.0439900860297185,0.238480860182591
"ENSG00000188993",10.3930666940583,0.243427943767683,0.900495921427486,0.270326536717452,0.78690905171665,NA
"ENSG00000188994",1421.2300191633,-0.0655998916710653,0.0999461309872324,-0.656352487315845,0.51159735345697,0.793961800996713
"ENSG00000188997",215.092823919582,0.240774579536329,0.218364110540399,1.10262890243488,0.270188353541415,0.610202618696207
"ENSG00000189007",245.176530600158,0.0507149680984387,0.174930220567067,0.289915418468216,0.771880945732399,0.921586205064152
"ENSG00000189042",246.788971910352,-0.158585295608601,0.159684195043693,-0.993118295553351,0.320652309008857,0.658257315782756
"ENSG00000189043",3913.55276083929,0.0867142408627364,0.0776651449639839,1.11651424719479,0.264202075155476,0.606160173294409
"ENSG00000189045",26.4127220373011,0.221555155603901,0.621900221834321,0.356255148053195,0.721649495306062,NA
"ENSG00000189046",346.233828676497,0.0908998898837895,0.154367855259658,0.588852450731333,0.555960257165483,0.824502975506896
"ENSG00000189050",347.397317333053,-0.252641478942724,0.14853589388865,-1.70087830172629,0.0889658418792129,0.357885318468652
"ENSG00000189051",16.4191204919074,-0.140368867801787,0.643015426543088,-0.218297823049787,0.827197070516843,NA
